Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
"PENGARUH STRUKTUR MODAL, STRUKTUR KEPEMILIKAN DAN PROFITABILITAS TERHADAP NILAI PERUSAHAAN PADA PERUSAHAAN MANUFAKTUR SEKTOR INDUSTRI DASAR DAN KIMIA YANG TERDAFTAR DI BEI PERIODE 2012-2016",Penulis : Lilik Nur Rahayu N,"Dr. Chairul Anam, Drs. Ec., M.Kes","Echsan Gani, S.E., M.Si","ABSTRAK


Lilik Nur Rahayu N, Pengaruh Struktur Modal, Struktur Kepemilikan dan Profitabilitas terhadap Nilai Perusahaan pada Perusahaan Manufaktur Sektor Industri Dasar dan Kimia yang Terdaftar di BEI Periode 2012-2016. Dibawah bimbingan Dr. Chairul Anam, Drs. Ec., M.Kes dan Echsan Gani, S.E., M.Si.
Nilai perusahaan dapat menggambarkan keadaan perusahaan. Dengan nilai perusahaan yang baik maka akan dipandang positif oleh calon investor. Suatu perusahaan dikatakan baik apabila kinerja perusahaan baik dan nilai sahamnya juga tinggi. 
Penelitian ini bertujuan untuk menganalisis pengaruh struktur modal, struktur kepemilikan dan profitabilitas terhadap nilai perusahaan pada perusahaan Manufaktur Sektor Industri Dasar dan Kimia yang terdaftar di BEI periode 2012-2016. Penelitian ini menggunakan analisis data deskriptif dan regresi linier berganda dengan menggunakan alat bantu SPSS 21. Dari hasil analisis, secara simultan variabel independen berpengaruh positif dan signifikan variabel dependen dan secara parsial didapat bahwa struktur modal tidak berpengaruh signifikan terhadap nilai perusahaan, kepemilikan manajerial tidak berpengaruh signifikan terhadap nilai perusahaa, kepemilikan institusional tidak berpengaruh signifikan terhadap nilai perusahaan dan profitabilitas berpengaruh positif dan signifikan terhadap nilai perusahaan. 

Kata kunci: struktur modal, struktur kepemilikan, profitabilitas, nilai perusahaan.
",pemasaran
Analisis Metode Tobinâs Q dan Altman Z-Score Sebagai Indikator Pengukuran Kinerja Keuangan Perusahaan Pada Perusahaan Manufaktur Sub-sektor Makanan dan Minuman yang Terdaftar di Bursa Efek Indonesia Periode 2012-2016. ,Penulis : Yuyun Hidayatul Mufidah,"Dr. Chairul Anam, Drs. Ec. M.Kes","Drs. Ec. Makhmud Zulkifli, M.Si.","Analisis Metode Tobinâs Q dan Altman Z-Score Sebagai Indikator Pengukuran Kinerja Keuangan Perusahaan Pada Perusahaan Manufaktur Sub-sektor Makanan dan Minuman yang Terdaftar di Bursa Efek Indonesia Periode 2012-2016. Di bawah bimbingan Dr. Chairul Anam, Drs.Ec. M.Kes dan Drs. Ec. Makhmud Zulkifli, M.Si. 
Pengukuran kinerja keuangan perusahaan merupakan salah satu indikator yang di pergunakan oleh investor untuk menilai suatu perusahaan. Tobinâs Q sebagai indikator pengukur kinerja perusahaan dengan melihat dari prespektif investasi yaitu dari potensi nilai pasar suatu perusahaan, Sedangkan Altman Z-score merupakan indikator yang mengukur kinerja perusahaan dengan memberikan gambaran kesehatan suatu perusahaan atau sisi kebangkrutan perusahaan. 
Penelitian ini bertujuan untuk mengukur kinerja keuangan perusahaan pada perusahaan manufaktur sub-sektor makanan dan minuman yang terdaftar di Bursa Efek Indonesia Periode 2012-2016. Metode penelitian yang digunakan adalah metode analisis deskriptif. 
Hasil penelitian berdasarkan hasil rata-rata Q score menujukan bahwa tidak terdapat perusahaan yang masuk dalam kondisi investasi yang rendah (undervalued) karena dari ke 13 sampel perusahaan yang diteliti mempunyai nilai Q score > 1 atau berada dalam kondisi potensi investasi yang tinggi (overvalued). Berdasarkan hasil rata-rata Z-score menunjukan bahwa tidak terdapat perusahaan yang mengalami kondisi kebangkrutan karena dari ke-13 sampel yang diteliti tidak memiliki rata-rata nilai Z-score < 1,81. Namun terdapat tiga perusahaan yang masuk dalam kondisi abu-abu (grey area) karena rata-rata nilai Z-score berada diantara 1,81 sampai 2,99  yaitu PT Tiga Pilar Sejahtera Food Tbk, PT Indofood Sukses Makmur Tbk dan PT Sekar Laut Tbk.

Kata Kunci: Pengukuran Kinerja Keuangan Perusahaan, Metode Tobinâs Q, Metode Altman Z-score.
",msdm
"ANALISIS PENGARUH RASIO LIKUIDITAS, RASIO AKTIVITAS, RASIO LEABILITAS DAN STRUKTUR MODAL TERHADAP PROFITABILITAS PERUSAHAAN AKUISITOR SEBELUM DAN SESUDAH MELAKUKAN AKTIVITAS PADA PERUSAHAAN MANUFAKTUR YANG TERDAFTAR DI BURSA EFEK INDONESIA YANG MELAKUKAN AKUISISI PADA TAHUN 2014",Penulis : Delfan Agata Putra Wiryawan,"R. Gatot Heru Pranjoto,S.E.,M.M","Prasetyo Nugroho, S.Pi.,M.M","ABSTRAK

Delfan, âAnalisis Pengaruh Struktur Modal, Rasio Likuiditas, Rasio Aktivitas dan Rasio Solvabilitas Terhadap Profitabilitas Perusahaan Akuisitor Sebelum dan Setelah Melakukan Akuisisi (Pada Perusahaan Manufaktur yang Terdaftar Di Bursa Efek Indonesia Yang Melakukan Akuisisi Pada Tahun 2014)â Dibawah bimbingan R. Gatot Heru Pranjoto, S.E., M.M, dan Prasetyo Nugroho, S.Pi., M.M
Tujuan penelitian ini untuk menganalisis rasio likuiditas, rasio aktivitas, rasio solvabilitas dan struktur modal apakah berpengaruh signifikan terhadap profitabilitas perusahaan antara sebelum dan sesudah melakukan akuisisi.
Subjek dalam penelitian ini adalah Perusahaan Non Bank dan Lembaga Keuangan yang terdaftar di Bursa Efek Indonesia. Objek penelitian adalah menganalisis rasio profitabilitas (ROA) rasio Likuiditas (CR), rasio Aktivitas (TATO) rasio Solvabilitas (DER) dan struktur modal (LDAR). Jenis penelitian ini adalah Deskriptif Kuantitatif. Teknik pengambilan sampel menggunkan purposive sampling dan untuk analisis data menggunakan Uji Regresi Linier Berganda dan Paired Sample T test.
Hasil dari penelitian menunjukkan bahwa dari ke empat variabel independen ada dua variabel yang berpengaruh secara signifikan terhadap variabel dependen profitabilitas (ROA) yaitu variabel Solvabilitas (DER) dan Struktur Modal (LDAR) yang menunjukan angka . Seharusnya perusahaan harus lebih berhati-hati dalam bertindak dengan diketahuinya bahwa rasio Solvabilitas dan Struktur Modal berpengaruh secara signifikan terhadap Profitabilitas perusahaan.



Kata Kunci : Akuisisi, Kinerja Keuangan, Rasio Keuangan, Regresi Linier Berganda, Paired  Sample T Test
",keuangan
"ANALISIS PENGARUH CAPITAL ADEQUACY RATIO, NON PERFORMING LOAN,
RETURN ON ASSETS, LOAN TO DEPOSIT RATIO  
DAN OPERATING EXPENSE TO OPERATING INCOME TERHADAP 
HARGA SAHAM PADA BANK UMUM SWASTA NASIONAL DEVISA  
YANG TERDAFTAR DI BURSA EFEK INDONESIA TAHUN 2012-2016
 ",Penulis : AINUR RAHMANI,"Drs. Ec. H. Makhmud Zulkifli, M. Si","Purnamawati, S. E., M. Si.","Ainur Rahmani, Analisis Pengaruh Capital Adequacy Ratio, Non Performing Loan, 
Return On Assets, Loan To Deposit Ratio Dan Operating Expense To Operating
Income Terhadap Harga Saham Pada Bank Umum Swasta Devisa Yang Terdaftar
Di Bursa Efek Indonesia Tahun 2012-2016. Dibawah bimbingan Drs. Ec. H.
Makhmud Zulkifli, M. Si dan Purnamawati, S. E., M. Si. 
Tujuan penelitian ini adalah untuk menganalisis adanya pengaruh
capital adequacy ratio, non performing loan, return on assets, loan to deposit ratio
dan operating expense to operating income baik secara parsial maupun simultan
terhadap harga saham Bank Umum Swasta Devisa yang terdaftar di Bursa Efek
Indonesia tahun 2012-2016. 
Penelitian ini menggunakan metode kuantitatif. Teknik pengambilan
sampel yang digunakan adalah teknik purposive sampling dan menggunakan
metode analisis regresi linier berganda. 
Hipotesis penelitian ini adalah capital adequacy ratio, non performing
loan, return on assets, loan to deposit ratio dan operating expense to operating
income berpengaruh secara parsial dan simultan terhadap harga saham Bank
Umum Swasta Devisa yang terdaftar di Bursa Efek Indonesia tahun 2012-2016. 
Hasil penelitian ini menunjukkan adanya pengaruh positif secara
signifikan antara return on asset terhadap harga saham, sedangkan capital
adequacy ratio, non performing loan, loan to deposit ratio dan operating expense
to operating income tidak berpengaruh terhadap harga saham. 
Kesimpulan dari penelitian ini adalah capital adequacy ratio, non
performing loan, return on assets, loan to deposit ratio dan operating expense to
operating income secara bersama-sama berpengaruh terhadap harga saham. 

Kata  Kunci : Capital Adequacy Ratio (CAR), Non-Performing Loan (NPL), Return 
on Assets (ROA), Loan to Deposit Ratio (LDR), Operating Expense
to Operating Income (BOPO) dan Harga Saham",pemasaran
"Analisis Pengaruh Return On Asset, Current Ratio, Debt to
Total Asset, Firm Size dan Sales Growth terhadap Dividen Payout Ratio pada
perusahaan manufaktur sub-sektor makanan dan minuman yang terdaftar di
Bursa Efek Indonesia periode 2012-2016",Penulis : Novina Tri Utami,"Dr. Chairul Anam, Drs. Ec., M.Kes","Drs. Ec. Makhmud Zulkifli, M.Si.","Penelitian ini dilakukan untuk menguji pengaruh secara parsial variabel
Return On Asset, Current Ratio, Debt to Total Asset, Firm Size dan Sales Growth
terhadap Dividen Payout Ratio pada perusahaan manufaktur sub-sektor
makanan dan minuman yang terdaftar di Bursa Efek Indonesia periode 20122016.

Pendekatan penelitian yang digunakan dalam penelitian adalah
pendekatan kuantitatif.
 Populasi dalam penelitian ini sejumlah 16 perusahaan manufaktur subsektor

makanan dan minuman yang terdaftar di Bursa Efek Indonesia periode
2012-2016. Teknik pengambilan sampel yang digunakan adalah purposive
sampling sehingga diperoleh jumlah sampel sebanyak 5 perusahaan dari 16
perusahaan manufaktur sub-sektor makanan dan minuman yang terdaftar di
Bursa Efek Indonesia periode 2012-2016. Teknik analisis yang digunakan adalah
uji asumsi klasik, analisis regresi linier berganda dan uji hipotesis menggunakan
uji parsial (uji t) untuk menguji koefisien regresi parsial dengan tingkat signifikasi
5%.
 Hasil penelitian menunjukkan bahwa (1) variabel Return On Asset
berpengaruh positif dan signifikan terhadap Dividen Payout Ratio ditunjukkan
dengan besarnya nilai profitabilitas ROA sebesar 0,000 yang berada dibawah
0,05 dan nilai t-hitung sebesar 7,210. (2) variabel Current Ratio berpengaruh
positif dan tidak signifikan terhadap Dividen Payout Ratio ditunjukkan dengan
besarnya nilai profitabilitas CR sebesar 0,819 yang berada diatas 0,05 dan nilai t-
hitung sebesar 0,232. (3) variabel Debt to Total Asset berpengaruh positif dan
tidak signifikan terhadap Dividen Payout Ratio ditunjukkan dengan besarnya nilai
profitablitas DTA  sebesar 0,342 yang berada di atas 0,05 dan nilai t-hitung 
sebesar 0,974. (4) variabel Firm Size berpengaruh positif dan tidak signifikan
terhadap Dividen Payout Ratio ditunjukkan dengan besarnya nilai profitablitas
firm size sebesar 0,131 yang berada di atas 0,05 dan nilai t-hitung sebesar
1,579. (5) variabel Sales Growth berpengaruh negatif dan signifikan terhadap
Dividen Payout Ratio ditunjukkan dengan besarnya nilai profitablitas sales growth 
sebesar 0,001 yang berada di bawah 0,05 dan nilai t-hitung sebesar -4,134.
 
Kata kunci: Return On Asset (ROA), Current Ratio (CR), Debt to Total Asset
(DTA), Firm Size, Sales Growth dan Dividen Payout Ratio (DPR) ",keuangan
"Pengaruh Earning Per Share (EPS), Return On Equity (ROE), Current Ratio (CR) dan Debt to Equity Ratio (DER) terhadap Harga Saham pada perusahaan Industri Dasar dan Kimia: Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia pada Tahun 2012-2016. ",Penulis : Rian Febriana ,"Drs.Ec.Makhmud Zulkifli, M.Si","R. gatot Heru Pranojoto, SE.,MM","Penelitian ini bertujuan untuk mengetahui bagaimana Earning Per Share, Return On Equity (ROE), Current Ratio (CR) dan Debt to Equity Ratio (DER) berpengaruh secara parsial maupun simultan terhadap Harga Saham pada perusahaan Industri Dasar dan Kimia: Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia tahun 2012-2016.
Populasi dari penelitian ini adalah perusahaan Industri Dasar dan Kimia: Sub Sektor Keramik, Porselen dan Kaca yang Terdaftar di Bursa Efek Indonesia pada tahun 2012-2016 dengan jumlah populasi sebanyak 18 perusahaan. Sampel yang dipilih menggunakan teknik purposive sampling. Metode pengumpulan data yang digunakan adalah data sekunder. Analisis data yang digunakan dalam penelitian ini yaitu analisis deskriptif , uji asumsi klasik, analisis regresi linier berganda, uji t, uji F dan uji determinasi (R2).
 Berdasarkan hasil penelitian menunjukkan bahwa nilai koefisiensi determinasi berganda (R2) atau R Square sebesar 0,876. Hal ini menunjukkan bahwa presentase pengaruh variabel Earning Per Share, Return On Equity, Current Ratio, dan Debt to Equity Ratio terhadap Harga Saham sebesar 87,6%, sedangkan sisanya 12,4% dipengaruhi variabel lain yang tidak diteliti dalam penelitian ini. Hasil uji t menunjukkan yang mempunyai pengaruh dan signifikan terhadap Harga Saham adalah variabel Earning Per Share dan Return On Equity, sedangkan variabel Current Ratio dan Debt to Equity Ratio mempunyai pengaruh dan tidak signifikan terhadap Harga Saham pada perusahaan Industri Dasar dan Kimia: Sub Sektor Keramik, Porselens dan Kaca yang Terdaftar di Bursa Efek Indonesia. Hasil uji F menunjukkan bahwa variabel Earning Per Share, Return On Equity, Current Ratio dan Debt to Equity Ratio berpengaruh signifikan terhadap Harga Saham pada perusahaan industri dasar dan kimia: sub sektor keramik, porselen dan kaca yang terdaftar di Bursa Efek Indonesia pada tahun 2012-2016.
 

Kata Kunci: Earning Per Share (EPS), Return On Equity (ROE), Current Ratio (CR) Debt to Equity Ratio (DER) dan Harga Saham. 

",pemasaran
ANALISIS PERBANDINGAN KINERJA KEUANGAN PERUSAHAAN SEBELUM DAN SESUDAH  MENERAPKAN  EMPLOYEE STOCK OWNERSHIP PROGRAM PADA PERUSAHAAN YANG TERDAFTAR DALAM BURSA EFEK INDONESIA PERIODE 2007-2016,Penulis : Heru Budi Utomo,"Drs. Ec. Bambang Sudarsono, MM","Drs. Ec. Makhmud Zulkifli, M.si","ABSTRAK
 Heru Budi Utomo, NIM 14.02.111.00081. Program Studi Manajemen, Fakultas Ekonomi dan Bisnis, Universitas Trunojoyo Madura, Analisis Perbandingan Kinerja Keuangan Perusahaan Sebelum Dan Sesudah Menerapkan Employee Stock Ownership Program Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia Periode 2007-20016. Dibawah bimbingan Drs. Ec. Bambang Sudarsono, MM dan Drs. Ec. Makhmud Zulkifli, M.si .
 Penelitian ini berjudul âAnalisis Perbandingan Kinerja Keuangan Perusahaan Sebelum Dan Sesudah Menerapkan Employee Stock Ownership Program Pada Perusahaan Yang Terdaftar Di Bursa Efek Indonesia Periode 2007-20016â. Tujuaan penelitian ini adalah untuk mengetahui apakah terdapat perbedaan yang signifikan pada kinerja keuangan perusahaan baik sebelum dan sesudah menerapkan Employee Stock Ownership Program. Dengan sering terjadinya kasus Asimetris informasi antara Pemilik dengan Manajer perusahaan memunculkan banyak kebijakan untuk mengatasi hal tersebut, Salah satu kebijakan adalah program ESOP yang merupakan suatu program kepemilikan saham oleh karyawan yang diharapkan dapat meningkatkan sense of belonging yang dapat memicu transparansi informasi dari para karyawan. Metode pengambilan sampel menggunakan metode purposive sampling dan sampel yang diperoleh sebanyak 7 perusahaan yang menerapkan  Employee Stock Ownership Program. Objek penelitian pada perusahaan pengadopsian ESOP yang terdaftar di BEI periode 2007 sampai 2016. Pengujian dilakukan dengan menggunakan  Analysis Paired Sample T Test atau analisis uji beda berpasangan.
 Hasil penelitian menunjukan tidak terdapat perbedaan yang signifikan pada kinerja keuangan perusahaan sebelum dan sesudah menerapkan  Employee Stock Ownership Program.  Hal ini dilihat dari analisis keenam rasio yang digunakan untuk mengukur kinerja keuangan perusahaan dan hasilnya menujukan tidak terdapat perbedaan yang signifikan pada keenam rasio tersebut.
Kata Kunci : ESOP dan Kinerja Keuangan Perusahaan.
",msdm
Strategi Pemasaran Pada UMKM Tahu Sumber Sari Di Kabupaten Lamongan,Penulis : Mohammad Bayu Aji Yudhistira,"Hadi Purnomo, SE., MM","Yustina Chrismardani, SSi., MM","ABSTRAK
Mohammad Bayu Aji Yudhistira, Strategi Pemasaran Pada UMKM Tahu Sumber Sari Di Kabupaten Lamongan. Dibawah bimbingan Bapak Hadi Purnomo, SE., MM dan Yustina Chrismardani, SSi., MM.
 Penelitian ini bertujuan untuk mengetahui strategi guna meningkatkan volume penjualan pada UMKMtahu Sumber Sari di Kabupaten Lamongan. Penelitian ini dilakukan di Desa Kandangrejo, Kecamatan Kedungpring, Kabupaten Lamongan dan dalam menganalisis data yang diperoleh, penulis menggunakan analisis SWOT sebagai alat untuk mendapatkan hasil dari penelitian ini.
 Hasil dari penelitian ini adalah tabel IFAS dan EFAS diketahui bahwa skor untuk faktor strategis internal sebesar 2,7, sedangkan skor total untuk faktor eksternal sebesar 2,89. Hal ini memberikan arti bahwa UMKM tahu Sumber Sari mempunyai peluang untuk tumbuh dan berkembang di masa yang akan datang dengan melakukan antisipasi terhadap ancaman seiring dengan pertumbuhan dan perkembangan yang terjadi dan untuk IE Matrik berada pada kuadran V ini berarti UMKM tahu Sumber Sari seharusnya menerapkan strategi stabilitas. Untuk meningkatkan keuntungan maka UMKM tahu Sumber Sari di Kabupaten Lamongan harus melakukan promosi, selain itu UMKM tahu Sumber Sari di Kabupaten Lamongan harus menerapkan :1). Strategi Diferensiasi (Differentation), 2). Strategi Pengembangan Pasar (Market development),
Kata kunci : Strategi Pemasaran, analisa lingkungan Internal dan eksternal, analisis SWOT",msdm
"PENGARUH KONFLIK INTRAPERSONAL DAN 
KONFLIK INTERPERSONAL TERHADAP KINERJA PENGRAJIN 
GULA MERAH DESA GRUJUGAN KECAMATAN GAPURA KABUPATEN SUMENEP
",Penulis : PUTRI AINUN JANNAH,"Dra. Hj. S. Anugrahini Irawati, MM.","Drs. Ec. Mudji Kuswinarno, Msi","Penelitian ini berjudul âPengaruh Konflik Intrapersonal Dan Konflik Interpersonal Terhadap Kinerja Pengrajin Gula Merah Desa Grujugan Kecamatan Gapura Kabupaten Sumenepâ. Dilema yang dialami oleh pengrajin gula merah di desa Grujugan yaitu sulitnya mengambil keputusan antara meneruskan pekerjaan keluarga dengan resiko pekerjaan yang tinggi atau berkerja ke luar kota jauh dari keluarga. Permasalah tersebut termasuk dalam konflik intrapersonal di mana pekerja dihadapkan dengan dua pilihan atau keinginan yang arahnya berbeda seperti antara harapan dan kewajiban ataupun antara dua nilai kultural yang berbeda. Permasalahan selanjutnya adalah masih ada karyawan yang tidak bertegur sapa sehingga dalam bekerja kurang maksimal. Menurut sebagian pekerja masih ada rasa curiga adanya pekerja yang mencari muka didepan pengepul gula merah. Hal inilah yang sering menimbulkan konflik interpersonal diantara pengrajin gula merah yang selanjutnya akan mempengaruhi kinerja pekerja lainnya.
Tujuan penelitian (1) Untuk mengetahui apakah  Konflik Intrapersonal berpengaruh negatif dan signifikan terhadap Kinerja pengrajin gula merah di Desa Grujugan Kecamatan Gapura Kabupaten Sumenep. (2) Untuk mengetahui apakah  Konflik Interpersonal berpengaruh negatif dan signifikan terhadap  Kinerja pengrajin gula merah di Desa Grujugan Kecamatan Gapura Kabupaten Sumenep.. (3) Untuk mengetahui apakah Konflik Intrapersonal dan Konflik Interpersonal secara bersama-sama (simultan) berpengaruh negatif dan signifikan terhadap Kinerja pengrajin gula merah di Desa Grujugan Kecamatan Gapura Kabupaten Sumenep.. (4) Untuk mengetahui variabel manakah yang berpengaruh dominan terhadap Kinerja pengrajin gula merah di Desa Grujugan Kecamatan Gapura Kabupaten Sumenep. Populasi 202 responden dan sampel berjumlah 67 responden. Teknik analisis yang digunakan adalah regresi linier berganda. Berdasarkan uji statistik, ditemukan bahwa variabel independen (Konflik Intrapersonal dan konflik interpersonal) berpengaruh secara negatif dan signifikan terhadap variabel dependen (Kinerja Pengrajin). Hal ini dapat dilihat dengan nilai koefisien regresi (B) variabel konflik intrapersonal sebesar - 0,497, sedangkan nilai koefisien regresi (B) variabel konflik interpersonal sebesar -0.782. Secara bersama-sama atau simultan variabel independen (Konflik Intrapersonal dan Konflik Interpersonal) berpengaruh secara  signifikan terhadap variabel dependen (Kinerja Pengrajin) dapat dilihat dari nilai Fhitung sebesar 51.664 lebih besar dari Ftabel 2,17 dengan tingkat signifikansi 0,000 < 0,1. Sedangkan variabel yang dominan sebagai berikut, variabel Konflik Intrapersonal (X1) sebesar -0,376

Kata kunci: konflik intrapersonal, konflik interpersonal, kinerja pengrajin.
",msdm
"Analisis Pengaruh Pertumbuhan Perusahaan, Kebijakan Dividen, Kebijakan Hutang, dan Profitabilitas Terhadap Nilai Perusahaan Sektor Industri Dasar dan Kimia Yang Terdaftar Di Bursa Efek Indonesia Tahun 2013-2015",Penulis : Devy Noer Erlyta Elyas Tuty,"Drs. Ec. Bambang Sudarsono, MM","Echsan Gani, S.E.,M.Si","       Tujuan dari penelitian ini adalah untuk mengetahui variabel Pertumbuhan Perusahaan, Kebijakan Dividen, Kebijakan Hutang dan Profitabilitas baik secara parsial maupun simultan terhadap nilai perusahaan pada Perusahaan Sektor Industri Dasar dan Kimia Yang Terdaftar di Bursa Efek Indonesia Tahun 2013-2015. Hasil uji F diketahui bahwa  Pertumbuhan Perusahaan, Kebijakan Dividen, Kebijakan Hutang dan Profitabilitas secara simultan perpengaruh terhadap nilai perusahaan pada Perusahaan Sektor Industri Dasar dan Kimia Yang Terdaftar di Bursa Efek Indonesia Tahun 2013-2015 dengan tingkat signifikansi sebesar 0,000 < 0,05 yang berarti hipotesis diterima. Hasil uji T diketahui bahwa Pertumbuhan Perusahaan secara parsial berpengaruh tidak signifikan terhadap nilai perusahaan dengan tingkat signifikan 0.883 > 0.05, kebijakan dividen secara parsial berpengaruh signifikan terhadap nilai perusahaan dengan tingkat signifikan 0.017 < 0.05, kebijakan hutang secara parsial berpengaruh signifikan terhadap nilai perusahaan dengan tingkat signifikan 0.016 < 0.05, Profitabilitas secara parsial berpengaruh signifikan terhadap nilai perusahaan dengan tingkat signifikan 0.000 < 0.05.
Kata kunci: Pertumbuhan Perusahaan, Kebijakan Dividen, Kebijakan Hutang , Profitabilitas, dan nilai perusahaan

",pemasaran
"ANALISIS PENGARUH PROFIT MARGIN, ASSETS TURNOVER, LEVERAGE DAN DIVIDEN PAYOUT RATIO TERHADAP SUSTAINABLE GROWTH RATE PADA PERUSAHAAN SEKTOR INDUSTRI BARANG KONSUMSI YANG TERDAFTAR DI  BURSA EFEK INDONESIA TAHUN 2011-2015",Penulis : Rohmawati,"Drs.Ec.Bambang Sudarsono, MM","Echsan Gani, S.E.,M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh Profit Margin, Assets Turnover, Leverage dan Dividen Payout Ratio Terhadap Sustainable Growth Rate baik secara parsial maupun secara simultan. Objek penelitian ini adalah perusahaan sektor industri barang konsumsi yang terdaftar di Bursa Efek Indonesia Tahun 2011-2015.
Populasi penelitian ini adalah seluruh perusahaan sektor industri barang konsumsi yang terdaftar di Bursa Efek Indonesia Tahun 2011-2015 dengan teknik pengambilan sampel menggunakan metode purposive sampling, dan diperoleh jumlah sampel sebanyak 8 perusahaan. Alat analisis yang digunakan adalah uji asumsi klasik dan analisis regresi linier berganda. Jenis data yang digunakan yaitu data sekunder menggunakan rasio-rasio keuangan perusahaan yang dilaporkan berturut-turut selama periode penelitian. 
  Hasil pengujian uji t menunjukkan bahwa adanya pengaruh yang signifikan dari variabel net profit margin, debt to equity ratio dan dividen payout ratio terhadap sustainable growth rate, sedangkan variabel total assets turnover  menunjukkan adanya pengaruh yang tidak signifikan terhadap sustainable growth rate. Hasil uji F menunjukkan bahwa secara bersama-sama variabel net profit margin, total assets turnover, debt to equity ratio dan dividen payout ratio mempunyai pengaruh yang signifikan terhadap sustainable growth rate. Berdasarkan uji normalitas data, uji multikolinieritas, uji heteroskedastisitas dan uji autokorelasi tidak ditemukan adanya variabel yang menyimpang dari uji asumsi klasik.
Kata kunci: net profit margin, total assets turnover, debt to equity ratio, dividen payout ratio dan sustainable growth rate.
",msdm
"PENGARUH EARNING PER SHARE (EPS), DIVIDEND PER SHARE (DPS), 
DEBT TO EQUITY RATIO (DER) DAN TINGKAT SUKU BUNGA TERHADAP 
HARGA SAHAM PADA PERUSAHAAN MAKANAN DAN MINUMAN 
YANG TERDAFTAR DI BURSA EFEK INDONESIA PERIODE 2012-2016
",Penulis : ATIKA WULANDARI,"Drs. Ec. Bambang Sudarsono, MM","Echsan Gani, SE., Msi","Atika Wulandari, Pengaruh Earning Per Share (EPS), Dividend Per Share (DPS), Debt To Equity Ratio (DER) dan Tingkat Suku Bunga Terhadap Harga Saham Pada Perusahaan Makanan dan Minuman Yang Terdaftar Di Bursa Efek Indonesia Periode 2012-2016. Dibawah bimbingan Bapak Drs.Ec. Bambang Sudarsono, MM dan Bapak Echsan Gani., MSi.
Penelitian ini bertujuan untuk mengetahui Pengaruh Earning Per Share (EPS), Dividend Per Share (DPS), Debt To Equity Ratio (DER) dan Tingkat Suku Bunga Terhadap Harga Saham Pada Perusahaan Makanan dan Minuman Yang Terdaftar Di Bursa Efek Indonesia Periode 2012-2016, baik secara parsial maupun secara simultan.
 Populasi dari penelitian ini adalah perusahaan makanan dan minuman yang terdaftar di Bursa Efek Indonesia periode 2012-2016 sebanyak 16 perusahaan. Sampel yang digunakan yaitu teknik purposive sampling. dengan jumlah sampel sebanyak 5 perusahaan makanan dan minuman yang terdaftar di Bursa Efek Indonesia. Analisis data yang digunakan dalam penelitian ini yaitu uji asumsi klasik, analisis regresi berganda, uji T, uji F dan koefisien determinasi (R2).
    Berdasarkan hasil penelitian menunjukkan bahwa nilai koefisien determinasi (R2) sebesar 0,384. Hal itu menunjukkan bahwa presentase pengaruh earning per share (EPS), dividend per share (DPS), debt to equity ratio (DER) dan tingkat suku bunga terhadap harga saham sebesar 38,4% sedangkan sisanya sebesar 61,6% dipengaruhi oleh variabel lain yang tidak termasuk dalam penelitian ini. Hasil uji T yang memiliki pengaruh terhadap harga saham yaitu earning per share (EPS). Hasil uji F menunjukkan bahwasannya variabel earning per share (EPS), dividend per share (DPS), debt to equity ratio (DER) dan tingkat suku bunga berpengaruh signifikan terhadap harga saham pada perusahaan makanan dan minuman yang terdaftar di bursa efek Indonesia periode 2012-2016. 


Kata Kunci: Earning Per Share (EPS), Dividend Per Share (DPS), Debt To Equity Ratio (DER) dan Tingkat Suku Bunga.


",keuangan
